node_id,name,in_corpus,case,year
1445130,"Commissioner of Income-tax, Madras v.  Subba	 Rao",False,,
73817931,section	 59,False,,
174215034,section 26-A,False,,
1725028,Deo  Narain  Rai v. Kukur Bind,False,,
515323,section  59,False,,
25245101,section 59,False,,
905940,In the General Clauses Act,False,,
378583,"Dhiyan
Singh  v.  Jugal Kishore",True,Dhiyan_Singh_And_Another_vs_Jugal_Kishore_And_Another_on_22_February_1950,1950.0
836345,"Ram
Gopal  v.  Nand	 Lal and Others",False,,
846754,"1)  and  Bishunath   Prasad
Singh	v.  Chandika   Prasad Kumari",False,,
1201431,Kanhai	Lal v. Brij Lal,False,,
1653414,Ramgouda Annagouda v. Bhausaheb,False,,
1921768,"Rangasami
Gounden	 v.  Nachiappa	Gounden",False,,
1925373,"3) and Mr. Binda    Kuer  v.
Lalitha Prasad",False,,
281502,"2 ), Executors of Estate	 of
       Dubash v. Commissioner of Income Tax",True,Executors_Of_The_Estate_Of_J_K_Dubash_vs_Commissioner_Of_Income_Tax_Bombaycity_on_21_December_1950,1950.0
192673007,s. 25 (4),False,,
169299843,s. 26 (2),False,,
1226169,section 25,False,,
47944,section 24(9),False,,
18611,"Jupudi Kesava Rao v.	Commissioner
of Income",False,,
188370,section 2 (2),False,,
192301,section 25-A,False,,
155665809,section	 42(1),False,,
192089,section	 10 (1),False,,
154566,,True,Gnanambal_Ammal_vs_T_Raju_Ayyar_And_Ors_on_21_December_1950,1950.0
983794,"Gnanambal Ammal
v.  T.	Raju  Ayyar & Others",True,Gnanambal_Ammal_vs_T_Raju_Ayyar_And_Others_on_21_October_1950,1950.0
1719234,"Venkata Narasimha
v. Parthasarathy",False,,
150369,,True,Gorakhram_Sadhuram_vs_Laxmibai_Wife_Of_Inderlal_Nandlal_on_14_March_1950,1950.0
175679708,S. 66,False,,
76789,,True,In_The_Supreme_Court_Of_India_vs_Kadar_Unnisa_Begum_And_Others_on_12_October_1950,1950.0
1553436,Ameer  Ammal v. Sankaranarayanan Chetty,False,,
1730415,Maina Bibi v. Chaudhri Vakil Ahmad,False,,
113492,Maina Bibi v. Wasi Ahmad,False,,
962828,Hamira Bibi v. Zubaida Bibi,False,,
377098,"Imtiaz Begum v.  Abdul
Karim  Khan",False,,
1925073,Kulsum Bibi v. Shiam	 Sunder	 Lal,False,,
318782,Ghafooran v. Ram Chandra Das,False,,
1925119,,True,In_The_Supreme_Court_Of_India_vs_Nandlal_on_12_October_1950,1950.0
151469296,Societies Act,False,,
102983495,section 42,False,,
1464203,,True,Jeevantha_And_Ors_vs_Hanumantha_And_Ors_on_20_November_1950,1950.0
1878796,,True,Kapildeo_Singh_vs_The_King_on_24_January_1950,1950.0
1258372,s. 147,False,,
1560742,ss. 302,False,,
1540253,326,False,,
491811,s. 249,False,,
409589,s. 304,False,,
999134,s. 149,False,,
1542085,s. 141,False,,
26020,Dal Singh v. King Emperor,False,,
1070931,"Md. Afdal Khan v. Abdul Hahman, Viscount Dunedin",False,,
136109,,True,Mangan_Lal_Deoshi_vs_Mohammad_Moinul_Haoque_Others_on_1_December_1950,1950.0
1489134,"Indian Registration Act, 1908",False,,
561156,s. 17 (t),False,,
1173811,"Transfer  of Property  (Amendment)	 Supplementary	Act,
1929",False,,
1041373,"Vide Hemanta Kumari Debi v.  Midnapur
Zamindari  Co.",False,,
130269257,section 2 (7),False,,
106183921,section 17 (1)(d),False,,
1695140,,True,Pannalal_Jankidas_vs_Mohanlal_And_Another_on_21_December_1950,1950.0
171398,"Ordinance--Indian
Contract Act, 1872",False,,
1728676,s. 14,False,,
1270593,"s.
18",False,,
894399,Section  15,False,,
6559712,"Workmen's	Compensation Act, 1923",False,,
626676,section 18 (2),False,,
768660,sections  211,False,,
1390223,212,False,,
360406,section	 18 (1),False,,
831280,section 2,False,,
568692,Section 16,False,,
339747,section 73,False,,
495914,,True,Prandas_vs_The_State_on_14_March_1950,1950.0
763672,148,False,,
1133601,325,False,,
1011035,323,False,,
626019,Section 300,False,,
105503,Section 417,False,,
802260,'Sheo Swarup v. Emperor,False,,
1359568,418,False,,
1442106,423,False,,
1954356,Province of Bombay v. Khusaldas S. Advani,True,Province_Of_Bombay_vs_Kusaldas_S_Advani_And_Others_on_15_September_1950,1950.0
176943212,Section 3,False,,
133026953,ss.  10,False,,
130177774,12,False,,
154831452,s. 306,False,,
130416865,section 205,False,,
1671917,section 45,False,,
129934088,4,False,,
641385,sections	 176,False,,
974069,177,False,,
7832,Land Acquisition Act,False,,
883432,"Rex	 v.  Boycott
and Others",False,,
55198661,section 80,False,,
171441475,section  6,False,,
1584686,Jugilal Kamlapat v. The Collector of Bombay,False,,
